,Model,Colour,Memory,RAM,mAH of Battery,Rear Camera(In MP),Front Camera(In MP),Processor in Phone,Price of Phone,Camera quality index (Front + Rear specs in MP),Phone storage(RAM +ROM in GB)
72,POCO X5 5G,Wildcat Blue,128,6,5000,48,13,Qualcomm Snapdragon 695,15999.0,13+48,6+128
73,REDMI A1+,Light Blue,32,2,5000,8,5,Mediatek Helio A22,6299.0,5+8,2+32
74,POCO M4 Pro,Yellow,128,8,5000,64,16,Mediatek Helio G96,13999.0,16+64,8+128
75,MOTOROLA G62 5G,Midnight Gray,128,8,5000,50,16,Qualcomm Snapdragon 695 5G,16499.0,16+50,8+128
76,POCO C50,Royal Blue,32,3,5000,8,5,Mediatek Helio A22,6299.0,5+8,3+32
77,POCO M5,Icy Blue,128,6,5000,50,8,Mediatek Helio G99,14499.0,8+50,6+128
78,REDMI 11 Prime,Flashy Black,64,4,5000,50,8,Helio G99,9999.0,8+50,4+64
79,realme C55,Sunshower,128,8,5000,64,8,Helio G88,13999.0,8+64,8+128
80,realme C55,Rainy Night,128,8,5000,64,8,Helio G88,13999.0,8+64,8+128
81,realme C55,Sunshower,64,6,5000,64,8,Helio G88,11999.0,8+64,6+64
82,realme C55,Rainforest,128,8,5000,64,8,Helio G88,13999.0,8+64,8+128
83,realme C55,Rainy Night,64,6,5000,64,8,Helio G88,11999.0,8+64,6+64
84,realme C55,Rainforest,64,6,5000,64,8,Helio G88,11999.0,8+64,6+64
85,realme C55,Sunshower,64,4,5000,64,8,Helio G88,10999.0,8+64,4+64
86,realme C55,Rainforest,64,4,5000,64,8,Helio G88,10999.0,8+64,4+64
87,realme C55,Rainy Night,64,4,5000,64,8,Helio G88,10999.0,8+64,4+64
88,MOTOROLA G62 5G,Frosted Blue,128,8,5000,50,16,Qualcomm Snapdragon 695 5G,16499.0,16+50,8+128
89,SAMSUNG Galaxy F14 5G,B.A.E. Purple,128,6,6000,50,13,"Exynos 1330, Octa Core ",14490.0,13+50,6+128
90,SAMSUNG Galaxy F14 5G,B.A.E. Purple,128,4,6000,50,13,"Exynos 1330, Octa Core ",13490.0,13+50,4+128
92,REDMI 10,Caribbean Green,64,4,6000,50,5,Qualcomm Snapdragon 680,9499.0,5+50,4+64
93,REDMI 11 Prime,Peppy Purple,64,4,5000,50,8,Helio G99,9999.0,8+50,4+64
94,MOTOROLA g73 5G,Lucent White,128,8,5000,50,16,Mediatek Dimensity 930,16999.0,16+50,8+128
95,POCO M5,Icy Blue,64,4,5000,50,8,Mediatek Helio G99,12499.0,8+50,4+64
96,realme 10 Pro 5G,Dark Matter,128,8,5000,108,16,Qualcomm Snapdragon 695 5G,19999.0,16+108,8+128
97,realme 10 Pro 5G,Nebula Blue,128,6,5000,108,16,Qualcomm Snapdragon 695 5G,18999.0,16+108,6+128
98,Micromax IN 2C,Nebula Blue,128,6,800,0,0,SC6531E,1449.0,0,6+128
99,POCO M5,Power Black,128,6,5000,50,8,Mediatek Helio G99,14499.0,8+50,6+128
100,POCO M5,Yellow,128,6,5000,50,8,Mediatek Helio G99,14499.0,8+50,6+128
101,POCO M4 Pro 5G,Yellow,128,8,5000,50,16,Mediatek Dimensity 810,15999.0,16+50,8+128
102,realme 10 Pro 5G,Hyperspace,128,8,5000,108,16,Qualcomm Snapdragon 695 5G,19999.0,16+108,8+128
103,realme 10 Pro 5G,Dark Matter,128,6,5000,108,16,Qualcomm Snapdragon 695 5G,18999.0,16+108,6+128
104,realme 10 Pro 5G,Nebula Blue,128,8,5000,108,16,Qualcomm Snapdragon 695 5G,19999.0,16+108,8+128
105,realme 10 Pro 5G,Hyperspace,128,6,5000,108,16,Qualcomm Snapdragon 695 5G,18999.0,16+108,6+128
106,POCO C50,Country Green,32,3,5000,8,5,Mediatek Helio A22,6299.0,5+8,3+32
107,realme Narzo 30 Pro 5G,Blade Silver,128,8,5000,48,16,MediaTek Dimensity 800U,15999.0,16+48,8+128
108,micromax 2,Blade Silver,128,8,1900,2,0,SC6531E,1849.0,2,8+128
109,Infinix Note 12 Pro 5G,Force Black,128,8,5000,108,16,Mediatek Dimensity 810 5G,15999.0,16+108,8+128
110,Infinix Note 12 Pro 5G,Snowfall,128,8,5000,108,16,Mediatek Dimensity 810 5G,15999.0,16+108,8+128
111,POCO X5 5G,Supernova Green,128,6,5000,48,13,Qualcomm Snapdragon 695,15999.0,13+48,6+128
112,SAMSUNG Galaxy F14 5G,GOAT Green,128,4,6000,50,13,"Exynos 1330, Octa Core ",13490.0,13+50,4+128
113,SAMSUNG Galaxy F23 5G,Aqua Blue,128,6,5000,50,8,Qualcomm Snapdragon 750G,16999.0,8+50,6+128
114,REDMI 10,Pacific Blue,128,6,6000,50,5,Qualcomm Snapdragon 680,10999.0,5+50,6+128
115,SAMSUNG Galaxy F14 5G,OMG Black,128,4,6000,50,13,"Exynos 1330, Octa Core ",13490.0,13+50,4+128
116,micromax,OMG Black,128,4,1000,0,0,SC6531E,1422.0,0,4+128
117,MOTOROLA Edge 40,Eclipse Black,256,8,4400,50,32,Dimensity 8020,29999.0,32+50,8+256
118,micromax 1,Eclipse Black,256,8,800,0,0,SC6531E,1299.0,0,8+256
119,POCO M4 5G,Yellow,64,4,5000,50,8,Mediatek Dimensity 700,11999.0,8+50,4+64
120,POCO M4 5G,Yellow,128,6,5000,50,8,Mediatek Dimensity 700,13999.0,8+50,6+128
121,REDMI 10,Midnight Black,64,4,6000,50,5,Qualcomm Snapdragon 680,9499.0,5+50,4+64
122,Infinix Smart 7 HD,Ink Black,64,2,5000,8,5,Spreadtrum SC9863A1,6199.0,5+8,2+64
123,Infinix Smart 7 HD,Silk Blue,64,2,5000,8,5,Spreadtrum SC9863A1,6199.0,5+8,2+64
124,Infinix Smart 7 HD,Jade White,64,2,5000,8,5,Spreadtrum SC9863A1,6199.0,5+8,2+64
125,realme Narzo 30,Racing Silver,128,6,5000,48,16,MediaTek Helio G95,12499.0,16+48,6+128
126,Infinix NOTE 12i,Alpine White,64,4,5000,50,8,Mediatek Helio G85,9999.0,8+50,4+64
127,POCO X5 5G,Jaguar Black,256,8,5000,48,13,Qualcomm Snapdragon 695,17999.0,13+48,8+256
128,realme 10,Rush Black,64,4,5000,50,16,Mediatek Helio G99 Octa Core,12499.0,16+50,4+64
129,realme 8i,Space Black,64,4,5000,50,16,MediaTek Helio G96,11499.0,16+50,4+64
130,SAMSUNG Galaxy F14 5G,OMG Black,128,6,6000,50,13,"Exynos 1330, Octa Core ",14490.0,13+50,6+128
131,REDMI A1+,Light Green,32,2,5000,8,5,Mediatek Helio A22,6299.0,5+8,2+32
133,Micromax 3,OMG Black,128,4,1020,2,0,MediaTek,2615.0,2,4+128
134,realme Narzo 30,Racing Blue,128,6,5000,48,16,MediaTek Helio G95,12499.0,16+48,6+128
135,Google Pixel 6a,Chalk,128,6,4410,12,8,Google Tensor,28999.0,8+12,6+128
136,Google Pixel 6a,Charcoal,128,6,4410,12,8,Google Tensor,28999.0,8+12,6+128
137,REDMI A1+,Black,32,2,5000,8,5,Mediatek Helio A22,6299.0,5+8,2+32
138,Infinix HOT 20 5G,Blaster Green,64,4,5000,50,8,Dimensity 810,11499.0,8+50,4+64
139,Infinix NOTE 12i,Metaverse Blue,64,4,5000,50,8,Mediatek Helio G85,9999.0,8+50,4+64
140,realme GT 2,Steel Black,128,8,5000,50,16,Qualcomm Snapdragon 888,23999.0,16+50,8+128
141,realme GT 2,Paper White,128,8,5000,50,16,Qualcomm Snapdragon 888,23999.0,16+50,8+128
142,realme 10,Clash White,64,4,5000,50,16,Mediatek Helio G99 Octa Core,12499.0,16+50,4+64
143,REDMI Note 12,Sunrise Gold,64,6,5000,50,13,Snapdragon 685,14999.0,13+50,6+64
144,Infinix HOT 20 5G,Space Blue,64,4,5000,50,8,Dimensity 810,11499.0,8+50,4+64
145,REDMI Note 12 5G,Frosted Green,128,6,5000,48,13,Qualcomm Snapdragon 4 Gen 1,18999.0,13+48,6+128
146,REDMI Note 12 5G,Matte Black,128,6,5000,48,13,Qualcomm Snapdragon 4 Gen 1,18999.0,13+48,6+128
